,Construction_Notes,From,District,Permit,Work_Schedule,Contractor,Trench_Length,To,Roadway_Plates_In_Use,Address_1,Address_2,Status,ExpirationDate,Intersection,Permittee,Sidewalk_Plates_In_Use,Project_Category,Estimated_Completion_Date,NumberOfWorkZones,Contact_Number,Neighborhood,Street,_id
99,INSTALLATION OF CONDUIT,,10A,EXCA-1435180,Days & Weekends,Danella Line Co,45,,,1088,1094,ONGOING SECTIONS TOPPED TO GRADE,2023-02-12 00:00:00,,Verizon,,SERVICE,2023-02-12 00:00:00,1,877-304-1203,MISSION HILL/FENWAY,BOYLSTON ST,100
100,Casting Repair - Public Safety Concern,,10A,EMER-1426414,Days & Weekends,Boston Water & Sewer Commi,,,,70,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-01 00:00:00,1,1-617-989 70,MISSION HILL/FENWAY,FRANCIS ST,101
101,Sewer Repair (Broken Sewer),,10A,EMER-00000,Days & Weekends,Keash Excavating Inc,,,,62,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-26 00:00:00,,Keash Excavating Inc,,EMERGENCY,2023-01-26 00:00:00,1,857-231-1171,MISSION HILL/FENWAY,CALUMET ST,102
102,INSTALLATION OF CONDUIT,,10A,EXCA-1429411,Days & Weekends,Danella Line Co,55,,,0,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,KENMORE ST,Verizon,,NEW CONDUIT AND/OR MAIN,2023-02-01 00:00:00,1,800-446-8946,MISSION HILL/FENWAY,NEWBURY ST,103
103,CASTING REPAIR / PUBLIC SAFETY,,10A,EMER-,Days & Weekends,Murphy & Fahy,,,,,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-21 00:00:00,LONGWOOD,Murphy & Fahy,,EMERGENCY,2023-01-21 00:00:00,1,,MISSION HILL/FENWAY,HUNTINGTON AV,104
104,INSTALLATION OF CONDUIT,,10A,EXCA-1306167,Days & Weekends,NEECC,156,,,656,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-29 00:00:00,,Extenet,,NEW CONDUIT AND/OR MAIN,2023-01-29 00:00:00,1,781-974-7140,MISSION HILL/FENWAY,BEACON ST,105
105,GRADE 2 LEAK,,10A,EXCA-1409809,Days & Weekends,Nationa Grid,,,2,225,,PLATES PINNED & BERMED,2023-02-03 00:00:00,,National Grid,,,2023-02-03 00:00:00,1,877-304-1203,MISSION HILL/FENWAY,HEATH ST,106
106,Water Main Repair (Leak on Main),,10A,EMER-1424070,Days & Weekends,Boston Water & Sewer Commi,,,,240,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-18 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-01-18 00:00:00,1,617-989-7000,MISSION HILL/FENWAY,HEATH ST,107
107,INSTALLATION OF UTILITY SERVICES,,10A,EXCA-1426007,Days & Weekends,JF White,,,,636,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-19 00:00:00,,JF White,,SERVICE,2023-02-07 00:00:00,1,,MISSION HILL/FENWAY,BEACON ST,108
108,Casting Repair - Public Safety Concern,,10A,EMER-1397115,Days & Weekends,P V Barone,,,,,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-21 00:00:00,EVANS ST,Comcast,,EMERGENCY,2023-01-21 00:00:00,1,1-857-919 93,MISSION HILL/FENWAY,LOUIS PRANG,109
109,Emergency - Cable Repair,,10A,EMER-,Days & Weekends,G Greene Construction,,,,100,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-21 00:00:00,,Eversource Electric,,EMERGENCY,2023-01-21 00:00:00,1,1-800-592 20,MISSION HILL/FENWAY,Peterborough St.,110
110,Service Outage,,10A,EMER-000000,Days & Weekends,Waveguide,,,,617,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-13 00:00:00,,Extenet Systems,,EMERGENCY,2023-01-13 00:00:00,1,1-978-995 71,MISSION HILL/FENWAY,PARKER ST,111
111,Service Relay (Leak on Street),,10A,EMER-1424061,Days & Weekends,Metro Equipment Corp,,,,90,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-13 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-01-13 00:00:00,1,1-617-989 70,MISSION HILL/FENWAY,St. Mary's St,112
112,Casting Repair - Public Safety Concern,,10A,EMER-1424056,Days & Weekends,Steven Companies,,,,1295,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-13 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-01-12 00:00:00,1,1-617-989 70,MISSION HILL/FENWAY,BOYLSTON ST,113
113,INSTALLATION CONDUIT,,10A,EXCA-1429342,Days & Weekends,Danella Line Co,,,,94,96,ONGOING SECTIONS TOPPED TO GRADE,2023-01-28 00:00:00,,Verizon,,NEW CONDUIT AND/OR MAIN,2023-01-28 00:00:00,1,800-446-8946,MISSION HILL/FENWAY,BAYSTATE RD,114
114,INSTALLATION OF CONDUIT,,10A,EXCA-1429348,Days & Weekends,Danella Line Co,,,,45,,,2023-01-28 00:00:00,,Verizon,,NEW CONDUIT AND/OR MAIN,2023-01-28 00:00:00,1,800-446-8946,MISSION HILL/FENWAY,BAYSTATE RD,115
115,INSTALLATION OF CONDUIT,,10A,EXCA-1429421,Days & Weekends,Danella Line Co,,,,111,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-28 00:00:00,,Verizon,,NEW CONDUIT AND/OR MAIN,2023-01-28 00:00:00,1,800-446-8946,MISSION HILL/FENWAY,BAY STATE RD,116
116,"INSTALLATION OF WATER, FIREPIPE, SEWER & DRAIN",,10A,EXCA-1430687,Days & Weekends,C McGue Excavating,,,,25,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-23 00:00:00,,C McGue Excavating,,SERVICE,2023-01-23 00:00:00,1,800-446-8946,MISSION HILL/FENWAY,SCAHEM ST,117
117,,,10A,EXCA-1428707,Days & Weekends,National Grid,,,,623,,,2023-02-03 00:00:00,,National Grid,,MAINTENANCE,2023-02-03 00:00:00,1,877-304-1203,MISSION HILL/FENWAY,PARKER ST,118
118,Emergency - Cable Replacement,,10A,EMER-1397112,Days & Weekends,Mirra Company Co.,,,,29,,ONGOING SECTIONS TOPPED TO GRADE,,,Comcast,,EMERGENCY,,1,1-857-919 93,MISSION HILL/FENWAY,MASSACHUSETTS AV,119
119,Emergency - Cable Replacement,,10A,EMER-1397112,Days & Weekends,Mirra Company Co.,,,,,,ONGOING SECTIONS TOPPED TO GRADE,,,Comcast,,EMERGENCY,,1,1-857-919 93,MISSION HILL/FENWAY,MASSACHUSETTS AV,120
120,Grade 1 Gas Leak,,10A,EMER-1323834,Days & Weekends,National Grid,,,,260,,PLATES PINNED & BERMED,2023-01-13 00:00:00,,National Grid,,EMERGENCY,2023-01-12 00:00:00,1,1-877-304 12,MISSION HILL/FENWAY,RUGGLES ST,121
121,INSTALLATION OF DRAIN (7AM-5PM),,10A,EXCA-1228934,Days & Weekends,J Derenzo,,,,201,,ONGOING SECTIONS TOPPED TO GRADE,2022-12-23 00:00:00,,J Derenzo,,SERVICE,2023-01-15 00:00:00,1,508-509-4879,MISSION HILL/FENWAY,BROOKLINE AV,122
122,INSTALLATION OF CONDUIT,NEWBURY ST,10A,EXCA-1323662,Days & Weekends,J Derenzo,50,BOYLSTON ST,,,,ONGOING SECTIONS TOPPED TO GRADE,2022-12-09 00:00:00,,J Derenzo,,SERVICE,2023-02-08 00:00:00,1,508-509-4879,MISSION HILL/FENWAY,MASSACHUSETTS AV,123
123,INSTALLATION OF GAS MAIN,,10A,EXCA-1376529,Days & Weekends,Feeney Brothers Excavation,615,,,0,,ONGOING SECTIONS TOPPED TO GRADE,2022-12-23 00:00:00,,National Grid,,NEW CONDUIT AND/OR MAIN,2023-01-15 00:00:00,1,877-304-1203,MISSION HILL/FENWAY,WORTHINGTON ST,124
124,Grade 1 Gas Leak,,09,EMER-1323275,Days & Weekends,National Grid,,,,84,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-07 00:00:00,,NATIONAL GRID,,EMERGENCY,2023-01-07 00:00:00,1,1-877-304 12,EAST BOSTON,CHELSEA ST,125
125,Grade 1 Gas Leak,,09,EMER-1323274,Days & Weekends,National Grid,,,,4,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-07 00:00:00,,National Grid,,EMERGENCY,2023-01-07 00:00:00,1,1-877-304 12,EAST BOSTON,LOVELL ST,126
126,Grade 1 Gas Leak,,09,EMER-1323273,Days & Weekends,National Grid,,,2,147,,PLATES PINNED & BERMED,2023-01-07 00:00:00,,National Grid,,EMERGENCY,2023-01-07 00:00:00,1,877-304-1203,EAST BOSTON,MAVERICK ST ,127
127,ABANDON SERVICE,,09,EXCA-1423606,Days & Weekends,National Grid,,,,150,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,,National Grid,,MAINTENANCE,2023-02-08 00:00:00,1,877-304-1203,EAST BOSTON,BAYSWATER ST,128
128,ABANDON SERVICE,,09,EXCA-1423625,Days & Weekends,National Grid,,,,477,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,,National Grid,,MAINTENANCE,2023-02-08 00:00:00,1,877-304-1203,EAST BOSTON,MERIDIAN ST,129
129,ABANDON SERVICE,,09,EXCA-1423621,Days & Weekends,National Grid ,,,,303,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,,National Grid,,MAINTENANCE,2023-02-08 00:00:00,1,877-304-1203,EAST BOSTON,SUMNER ST,130
130,ABANDON SERVICE,,09,EXCA-1423611,Days & Weekends,National Grid ,,,,24,26,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,,National Grid,,MAINTENANCE,2023-02-08 00:00:00,1,877-304-1203,EAST BOSTON,FALCON ST,131
131,ABANDON SERVICE,,09,EXCA-1423617,Days & Weekends,National Grid ,,,,32,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,,National Grid,,MAINTENANCE,2023-02-08 00:00:00,1,877-304-1203,EAST BOSTON,MONTMORENCI AV,132
132,Maintenance,,09,EXCA-1424620,Days & Weekends,National Grid ,,,,852,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,,National Grid,,,2023-02-01 00:00:00,1,,EAST BOSTON,SARATOGA ST,133
133,Service,,09,EXCA-1420101,Days & Weekends,Keash Excavating Inc,,,,57,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-19 00:00:00,,Keash Excavating Inc,,,2023-01-19 00:00:00,1,,EAST BOSTON,CHAUCER ST,134
134,Grade 1 Gas Leak,,09,EMER-1323843,Days & Weekends,National Grid,,,,195,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-13 00:00:00,,National Grid,,EMERGENCY,2023-01-13 00:00:00,1,1-877-304 12,EAST BOSTON,SUMNER ST,135
135,CUT AND CAP EXISTING,,09,EXCA-1432425,Days & Weekends,Keash Excavating Inc,,,,196,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-17 00:00:00,,Keash Excavating Inc,,SERVICE,2023-02-17 00:00:00,1,857-231-1171,EAST BOSTON,HAVRE ST,136
136,Grade 1 Gas Leak,,09,EMER-1323855,Days & Weekends,National Grid,,,,,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-18 00:00:00,MCLELLAN HY,National Grid,,EMERGENCY,2023-01-19 00:00:00,1,877-304-1203,EAST BOSTON,CURTIS ST,137
137,CUT AND CAP,,09,EXCA-1432332,Days & Weekends,C McGue Excavating,,,,7,11,ONGOING SECTIONS TOPPED TO GRADE,2023-01-31 00:00:00,,C McGue Excavating,,SERVICE,2023-01-31 00:00:00,1,617-778-8775,EAST BOSTON,CURTIS ST,138
138,"NEW FIRE, WATER & SEWER",,09,EXCA-1432366,Days & Weekends,C McGue Excavating,,,,108,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-30 00:00:00,,C McGue Excavating,,SERVICE,2023-01-30 00:00:00,1,617-778-8775,EAST BOSTON,CHELSEA ST,139
139,Service Repair (Leak on Service),,09,EMER-1424071,Days & Weekends,Boston Water & Sewer Commi,,,,30,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-19 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-01-19 00:00:00,1,617-989-7000,EAST BOSTON,MONMOUTH ST,140
140,INSTALL NEW MAIN,,09,EXCA-1406349,Days & Weekends,Keash Excavating Inc,,,,226,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-24 00:00:00,,Keash Excavating Inc,,SERVICE,2023-01-24 00:00:00,1,857-231-1171,EAST BOSTON,PRINCETON ST,141
141,Grade 1 Gas Leak,,09,EMER-1323873,Days & Weekends,National Grid,,,2,238,,PLATES PINNED & BERMED,2023-01-26 00:00:00,,National Grid,,EMERGENCY,2023-02-08 00:00:00,1,877-304-1203,EAST BOSTON,PRINCETON ST,142
142,Sewer Repair (Broken Sewer),,09,EMER-1426147,Days & Weekends,C Naughton Corp,,,,120,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-08 00:00:00,1,617-989-7000,EAST BOSTON,ORIENT AV,143
143,GAS LEAK REPAIR,,09,EXCA-1433433,Days & Weekends,National Grid,,,,91,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-08 00:00:00,,National Grid,,MAINTENANCE,2023-02-08 00:00:00,1,877-304-1203,EAST BOSTON,SARATOGA ST,144
144,Sewer Repair (Broken Sewer),,09,EMER-1426153,Days & Weekends,Umbro & Sons Construction,,,,149,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-01-31 00:00:00,1,1-617-989 70,EAST BOSTON,LONDON ST,145
145,INSTALLATION OF CONDUIT,,09,EXCA-1435591,Days & Weekends,Riley Brothers,112,,,0,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-03 00:00:00,BORDER ST,Eversource Electric,,NEW CONDUIT AND/OR MAIN,2023-03-03 00:00:00,1,800-592-2000,EAST BOSTON,FALCON ST,146
146,Grade 1 Gas Leak,,09,EMER-1333334,Days & Weekends,National Grid,,,,86,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-09 00:00:00,,National Grid,,EMERGENCY,2023-02-09 00:00:00,1,877-304-1203,EAST BOSTON,CHELSEA ST,147
147,CUT AND CAP,,09,EXCA-1436893,Days & Weekends,National Grid,,,,217,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-24 00:00:00,,National Grid,,MAINTENANCE,2023-02-24 00:00:00,1,877-304-1203,EAST BOSTON,LEXINGTON ST,148
148,CUT AND CAP,,09,EXCA-1436895,Days & Weekends,National Grid,,,,218,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-24 00:00:00,,National Grid,,MAINTENANCE,2023-02-24 00:00:00,1,877-304-1203,EAST BOSTON,LEXINGTON ST,149
149,CUT AND CAP,,09,EXCA-1436854,Days & Weekends,National Grid,,,,43,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-24 00:00:00,,National Grid,,MAINTENANCE,2023-02-24 00:00:00,1,877-304-1203,EAST BOSTON,MONMOUTH ST,150
150,CUT AND CAP,,09,EXCA-1436891,Days & Weekends,National Grid,,,,35,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-24 00:00:00,,National Grid,,MAINTENANCE,2023-02-24 00:00:00,1,877-304-1203,EAST BOSTON,EUTAW ST,151
151,CUT AND CAP,,09,EXCA-1436889,Days & Weekends,National Grid,,,,161,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-24 00:00:00,,National Grid,,MAINTENANCE,2023-02-24 00:00:00,1,877-304-1203,EAST BOSTON,COTTAGE ST,152
152,Control Dig & Reset (Leak on Service),,09,EMER-000000,Days & Weekends,Boston Water & Sewer Commi,,,,116,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-15 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-15 00:00:00,1,617-989-7000,EAST BOSTON,ST ANDREW ST,153
153,,,09,EXCA-1438086,Days & Weekends,C McGue Excavating,,,,230,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-20 00:00:00,,C McGue Excavating,,SERVICE,2023-02-20 00:00:00,1,,EAST BOSTON,EVERETT,154
154,Grade 1 Gas Leak,,09,EMER-1364985,Days & Weekends,National Grid,,,,171,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-15 00:00:00,,National Grid,,EMERGENCY,2023-02-15 00:00:00,1,877-304-1203,EAST BOSTON,MAVERICK ST ,155
155,INSTALLATION OF GAS SERVICE,,09,EXCA-1436804,Days & Weekends,National Grid,,,,2,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-24 00:00:00,,National Grid,,SERVICE,2023-02-24 00:00:00,1,877-304-1203,EAST BOSTON,SAINT ANDREW ST,156
156,INSTALLATION OF GAS SERVICE,,09,EXCA-1332015,Days & Weekends,National Grid,,,,821,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-15 00:00:00,,National Grid,,SERVICE,2023-03-15 00:00:00,1,877-304-1203,EAST BOSTON,SARATOGA ST,157
157,INSTALLATION OF GAS SERVICE,,09,EXCA-1347944,Days & Weekends,National Grid,,,,343,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-15 00:00:00,,National Grid,,SERVICE,2023-03-15 00:00:00,1,877-304-1203,EAST BOSTON,SARATOGA ST,158
158,INSTALLATION OF GAS SERVICE,,09,EXCA-1257541,Days & Weekends,National Grid,,,,39,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-15 00:00:00,,National Grid,,SERVICE,2023-03-15 00:00:00,1,877-304-1203,EAST BOSTON,SAINT ANDREW ST,159
159,INSTALLATION OF GAS SERVICE,,09,EXCA-1328654,Days & Weekends,National Grid,,,,140,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-15 00:00:00,,National Grid,,SERVICE,2023-03-15 00:00:00,1,877-304-1203,EAST BOSTON,BAYSWATER ST,160
160,INSTALLATION OF GAS SERVICE,,09,EXCA-1361369,Days & Weekends,National Grid ,,,,695,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-10 00:00:00,,National Grid,,SERVICE,2023-03-10 00:00:00,1,877-304-1203,EAST BOSTON,BENNINGTON ST,161
161,INSTALLATION OF GAS SERVICE,,09,EXCA-1263371,Days & Weekends,National Grid,,,,5,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-15 00:00:00,,National Grid,,SERVICE,2023-03-15 00:00:00,1,877-304-1203,EAST BOSTON,MONMOUTH ST,162
162,INSTALLATION OF GAS SERVICE,,09,EXCA-1340023,Days & Weekends,National Grid,,,,22,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-15 00:00:00,,National Grid,,SERVICE,2023-03-15 00:00:00,1,877-304-1203,EAST BOSTON,MONMOUTH ST,163
163,Maintenance,,09,EXCA-1366945,Days & Weekends,National Grid,,,,303,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-15 00:00:00,,National Grid,,,2023-03-15 00:00:00,1,877-304-1203,EAST BOSTON,MAVERICK ST,164
164,Service Outage,,09,EMER-1429302,Days & Weekends,Phoenix Communications,,,3,257,,PLATES PINNED & BERMED,2023-02-18 00:00:00,,Crown Castle,,EMERGENCY,2023-02-23 00:00:00,1,1-888-632 09,EAST BOSTON,PRINCETON ST,165
165,Grade 1 Gas Leak,,09,EMER-1365007,Days & Weekends,National Grid,,,,30,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-23 00:00:00,,National Grid,,EMERGENCY,2023-02-23 00:00:00,1,877-304-1203,EAST BOSTON,LEXINGTON ST ,166
166,Grade 1 Gas Leak,,09,EMER-1365002,Days & Weekends,National Grid,,,,580,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-23 00:00:00,,National Grid,,EMERGENCY,2023-02-23 00:00:00,1,877-304-1203,EAST BOSTON,CHELSEA ST ,167
167,INSTALLATION OF GAS MAIN,,09,EXCA-1395411,Days & Weekends,Feeney Brothers Excavation,,,,198,370,IDLE,2023-03-07 00:00:00,,National Grid,,NEW CONDUIT AND/OR MAIN,2023-03-07 00:00:00,1,877-304-1203,EAST BOSTON,PRINCETON ST,168
168,INSTALLATION OF WATER AND SEWER,,09,EXCA-1375895,Days & Weekends,RJV Construction,480,,,60,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-21 00:00:00,,Boston Water & Sewer Commission,,NEW CONDUIT AND/OR MAIN,2023-03-21 00:00:00,1,617-989-7000,EAST BOSTON,MAVERICK ST,169
169,INSTALLATION OF SEWER,,09,EXCA-1301201,Days & Weekends,RJV Construction,1695,,,45,197,ONGOING SECTIONS TOPPED TO GRADE,2023-03-21 00:00:00,,Boston Water & Sewer Commission,,NEW CONDUIT AND/OR MAIN,2023-03-21 00:00:00,1,617-989-7000,EAST BOSTON,ORLEANS ST,170
170,Service Repair (Leak on Service),,09,EMER-1442341,Days & Weekends,Metro Equipment Corp,,,,311,,ONGOING SECTIONS TOPPED TO GRADE,,,Boston Water & Sewer Commission,,EMERGENCY,,1,1-617-989 70,EAST BOSTON,LEXINGTON ST,171
171,Service Relay (Leak on Street),,09,EMER-1442340,Days & Weekends,Metro Equipment Corp,,,,341,,ONGOING SECTIONS TOPPED TO GRADE,,,Boston Water & Sewer Commission,,EMERGENCY,,1,1-617-989 70,EAST BOSTON,SUMNER ST,172
172,Grade 1 Gas Leak,,09,EMER-1376341,Days & Weekends,National Grid,,,,255,,ONGOING SECTIONS TOPPED TO GRADE,,,National Grid,,EMERGENCY,,1,1-877-304 12,EAST BOSTON,CONDOR ST,173
173,Grade 1 Gas Leak,,09,EMER-1376336,Days & Weekends,National Grid,,,,196,,ONGOING SECTIONS TOPPED TO GRADE,,,National Grid,,EMERGENCY,,1,1-774-272 36,EAST BOSTON,BREMEN ST,174
174,INSTALLATION OF WATER SEWER AND FIREPIPE,,09,EXCA-1361201,Days & Weekends,Keash Excavating Inc,,,,87,,NO START,2023-03-10 00:00:00,,Keash Excavating Inc,,SERVICE,2023-03-10 00:00:00,1,857-231-1171,EAST BOSTON,PUTNAM ST,175
175,INSTALLATION OF GAS SERVICE,,09,EXCA-1213433,Days & Weekends,National Grid,,,,190,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-10 00:00:00,,National Grid,,SERVICE,2023-03-10 00:00:00,1,877-304-1203,EAST BOSTON,PARIS ST,176
176,INSTALLATION OF GAS SERVICE,,09,EXCA-1253301,Days & Weekends,National Grid,,,,113,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-15 00:00:00,,National Grid,,SERVICE,2023-03-15 00:00:00,1,877-304-1203,EAST BOSTON,PARIS ST,177
177,Hydrant Repair (Inoperable Hydrant),,09,EMER-1436424,Days & Weekends,Metro Equipment Corp,,,,346,,ONGOING SECTIONS TOPPED TO GRADE,,,Boston Water & Sewer Commission,,EMERGENCY,,1,617-989-7000,EAST BOSTON,SUMNER ST,178
178,Service Repair (Leak on Service),,09,EMER-1442344,Days & Weekends,Metro Equipment Corp,,,,76,,ONGOING SECTIONS TOPPED TO GRADE,,,Boston Water & Sewer Commission,,EMERGENCY,,1,1-617-989 70,EAST BOSTON,WEBSTER ST,179
179,Emergency Fire Pipe Repair,,09,EMER-1449904,Days & Weekends,C McGue Excavating,,,,1,,ONGOING SECTIONS TOPPED TO GRADE,,,C McGue Excavating,,EMERGENCY,,1,1-617-778 87,EAST BOSTON,EMMONS ST,180
180,Casting Repair - Public Safety Concern,,08,EMER-1436396,Days & Weekends,Steven Companies,,,,12,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-15 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-15 00:00:00,1,617-989-7000,HYDE PARK,NORWAY PK,181
181,Casting Repair - Public Safety Concern,,08,EMER-1436395,Days & Weekends,Steven Companies,,,,59,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-15 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-15 00:00:00,1,617-989-7000,HYDE PARK,GLENCLIFF RD,182
182,Emergency - Manhole Structural Repair,,08,EMER-1426165,Days & Weekends,GIUGLIANO,,,,650,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-07 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-08 00:00:00,1,1-617-989 70,HYDE PARK,METROPOLITAN AV,183
183,,,08,EXCA-1434328,Days & Weekends,Maverick Construction,,,,1191,,,2023-02-09 00:00:00,,Boston Public Works,,MAINTENANCE,2023-02-09 00:00:00,1,857-472-0105,HYDE PARK,HYDE PARK AV,184
184,,,08,EXCA-1435412,Days & Weekends,Maverick Construction,,,,1715,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-17 00:00:00,,Boston Public Works,,MAINTENANCE,2023-02-17 00:00:00,1,857-472-0105,HYDE PARK,HYDE PARK AV,185
185,Emergency - Manhole Structural Repair,,08,EMER-1426169,Days & Weekends,GIUGLIANO,,,,926,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-04 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-08 00:00:00,1,1-617-989 70,HYDE PARK,HYDE PARK AV,186
186,Casting Repair - Public Safety Concern,,08,EMER-1426167,Days & Weekends,GIUGLIANO,,,,175,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-04 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-08 00:00:00,1,1-617-989 70,HYDE PARK,CLARE AV,187
187,Emergency - Manhole Structural Repair,,08,EMER-1426169,Days & Weekends,GIUGLIANO,,,,926,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-07 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-08 00:00:00,1,1-617-989 70,HYDE PARK,HYDE PARK AV,188
188,Emergency - Manhole Structural Repair,,08,EMER-1426165,Days & Weekends,GIUGLIANO,,,,650,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-04 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-08 00:00:00,1,1-617-989 70,HYDE PARK,METROPOLITAN AV,189
189,Sewer Repair (Broken Sewer),,08,EMER-,Days & Weekends,Ronan 953 LLC,,,,25,,ONGOING SECTIONS TOPPED TO GRADE,,,Ronan 953 LLC,,EMERGENCY,,1,1-617-510 10,HYDE PARK,MATTAKEESETT ST,190
190,INSTALLATION OF GAS MAIN,,08,EXCA-1409924,Days & Weekends,Feeney Brothers,472,,,7,45,ONGOING SECTIONS TOPPED TO GRADE,2023-03-23 00:00:00,,Eversource Gas,,NEW CONDUIT AND/OR MAIN,2023-03-23 00:00:00,1,844-886 9349,HYDE PARK,SUMMIT AV,191
191,INSTALLATION OF GAS MAIN,,08,EXCA-1383707,Days & Weekends,,,,,961,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-02 00:00:00,,Eversource Gas,,NEW CONDUIT AND/OR MAIN,2023-03-02 00:00:00,1,844-886 9349,HYDE PARK,RIVER ST,192
192,CONDUIT REPAIR,,08,EXCA-1421236,Days & Weekends,PV Barone,,,,912,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,,Comcast,,MAINTENANCE,2023-02-01 00:00:00,1,857-919-9935,HYDE PARK,RIVER ST,193
193,INSTALLATION OF GAS MAIN,TRUMAN HIGHWAY,08,EXCA-1430780,Days & Weekends,Feeney Brothers Excavation,1700,SUMMIT ST,,,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-10 00:00:00,,Eversource Gas,,NEW CONDUIT AND/OR MAIN,2023-03-10 00:00:00,1,844-886 9349,HYDE PARK,WILLILAMS AV,194
